"short","same_netdebt","r","health_inflation","cht_increment","labour_prod","oldshare","years","pop_scenario"
"FED",-0.0149694902377794,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"BC",0.000772237006875688,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"AB",0.0323678311542966,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"SK",0.0180450084060557,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"MB",-0.00574362825424652,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"ON",0.0110946741061551,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0317648253188067,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NB",0.00366345782653845,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NS",-0.00166321459300312,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"PE",0.00500088137388599,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NL",0.0622229282427453,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"PROV",0.00640596024173061,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0241275119363546,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"BC",0.00307954196733569,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"AB",0.0380770642883544,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"SK",0.0218104845441265,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"MB",0.0018072120269033,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"ON",0.0148486888256346,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0250322101865123,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NB",0.0175541176309734,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NS",0.00516494492655907,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"PE",0.0109720652351372,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NL",0.0633840411230985,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"PROV",0.00981598406570026,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"FED",-0.0122475194285045,0.03,0,0,0.01,0,25,"Projection scenario M2: medium-growth"
"BC",-0.00175771566942864,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"AB",0.0310628567319174,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"SK",0.0155116960372742,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"MB",-0.00733580772267359,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"ON",0.00827927806751231,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0337310158351201,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NB",0.00414321930461971,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NS",-0.00414387405818721,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"PE",0.00231381500686998,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NL",0.0572427696694311,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"PROV",0.00353370028159329,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0225117931188437,0.03,0,0,0.01,0,50,"Projection scenario M2: medium-growth"
"BC",-0.00988356002837177,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"AB",0.0219325976241335,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"SK",0.00771050593290935,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"MB",-0.0195457400326082,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"ON",-0.00138441935374132,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0466000376307426,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"NB",-0.0118000546972882,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"NS",-0.0176081111538215,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"PE",-0.0133556292363203,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"NL",0.0449790596771291,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"PROV",-0.00588569518270563,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0343390159094395,0.03,0,0,0.01,0,75,"Projection scenario M2: medium-growth"
"BC",-0.000880898044276908,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"AB",0.0342901030277804,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"SK",0.0178327205990018,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"MB",-0.00352481560559876,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"ON",0.00977578060847916,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0307746561293873,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"NB",0.0113547039137119,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"NS",-0.000999947484269813,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"PE",0.00435228094749648,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"NL",0.0562943180507945,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"PROV",0.00495631588976548,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"FED",-0.016553957529908,0.03,0,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"BC",-0.00896552078150142,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"AB",0.024079406193481,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"SK",0.00846040215353888,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"MB",-0.0167496576357163,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"ON",-0.000385399912352312,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0438565836684255,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"NB",-0.00669100200988499,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"NS",-0.0151413693601333,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"PE",-0.0100088121736431,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"NL",0.044948567290031,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"PROV",-0.00493934946193073,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0296835756841344,0.03,0,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"BC",-0.0197886381339984,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"AB",0.0123552504333395,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"SK",-0.00185960216710679,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"MB",-0.0323450955247991,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"ON",-0.0130217814012123,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0604628978454663,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"NB",-0.0263769346962975,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"NS",-0.0326247247859319,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"PE",-0.0304259489916968,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"NL",0.028524498928045,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"PROV",-0.0173081068972569,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0437293733146088,0.03,0,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"BC",-0.00474594233286351,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"AB",0.030603579706541,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"SK",0.0139550687440616,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"MB",-0.00873090598806428,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"ON",0.00481465719105237,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0363893401524058,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"NB",0.00529267005801741,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"NS",-0.00702663324012639,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"PE",-0.0021041834136561,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"NL",0.0493444311696457,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"PROV",0.000209167240125216,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"FED",-0.0207621591871486,0.03,0,0,0.015,0,25,"Projection scenario M2: medium-growth"
"BC",-0.0158295753752871,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"AB",0.0174745018500294,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"SK",0.00176276964171602,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"MB",-0.0257092759006903,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"ON",-0.00866002170775634,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0535340833669882,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"NB",-0.0170784353304171,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"NS",-0.0256782798159272,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"PE",-0.0217404631431064,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"NL",0.0330848217989752,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"PROV",-0.0130136036735579,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0364958209873413,0.03,0,0,0.015,0,50,"Projection scenario M2: medium-growth"
"BC",-0.028964180519899,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"AB",0.00359465724781982,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"SK",-0.0106927114285417,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"MB",-0.0441769124441854,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"ON",-0.0238415115702517,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0733746289076217,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"NB",-0.040071518213403,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"NS",-0.0467189449642128,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"PE",-0.0462457090250246,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"NL",0.0128720856587009,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"PROV",-0.0278886275910751,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0523432753483373,0.03,0,0,0.015,0,75,"Projection scenario M2: medium-growth"
"BC",0.014021537418895,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"AB",0.0482268479527967,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"SK",0.032412369343793,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"MB",0.0159444074902402,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
