"short","same_netdebt","r","health_inflation","cht_increment","labour_prod","oldshare","years","pop_scenario"
"QC",-0.057389766404826,0.04,0.0025,0,0.015,0,75,"Projection scenario M2: medium-growth"
"NB",-0.0209361831200627,0.04,0.0025,0,0.015,0,75,"Projection scenario M2: medium-growth"
"NS",-0.0290738333417685,0.04,0.0025,0,0.015,0,75,"Projection scenario M2: medium-growth"
"PE",-0.0280691126324169,0.04,0.0025,0,0.015,0,75,"Projection scenario M2: medium-growth"
"NL",0.031896131976566,0.04,0.0025,0,0.015,0,75,"Projection scenario M2: medium-growth"
"PROV",-0.0155701792364651,0.04,0.0025,0,0.015,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0453234294319544,0.04,0.0025,0,0.015,0,75,"Projection scenario M2: medium-growth"
"BC",0.018249277744127,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"AB",0.0521389468397224,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"SK",0.0369283305322893,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"MB",0.0247979510924461,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"ON",0.0343452481466558,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"QC",-0.00253033202474854,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NB",0.0432087124662489,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NS",0.0291602190726046,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"PE",0.0358388428201787,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NL",0.08941592239359,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"PROV",0.028592371980803,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"FED",-6.31821592172722e-06,0.04,0.005,0,0.005,0,25,"Projection scenario M2: medium-growth"
"BC",0.0257399159784611,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"AB",0.0567431628617991,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"SK",0.0416394013227281,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"MB",0.0302744057700853,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"ON",0.0405234901863141,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"QC",0.0045512590069803,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NB",0.046617938552519,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NS",0.0376244134136104,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"PE",0.0484477849742055,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NL",0.101654989304419,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"PROV",0.0353525397285289,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"FED",-0.00328321431857968,0.04,0.005,0,0.005,0,50,"Projection scenario M2: medium-growth"
"BC",0.0292946988642332,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"AB",0.0588183325258362,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"SK",0.0441176622126924,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"MB",0.0322994495611077,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"ON",0.0429622550649235,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"QC",0.00701948694344716,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NB",0.0461900225004083,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NS",0.0404898230837974,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"PE",0.0530910902826257,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NL",0.105330783071718,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"PROV",0.0382395539976721,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"FED",-0.00823394468102811,0.04,0.005,0,0.005,0,75,"Projection scenario M2: medium-growth"
"BC",0.0140688469387517,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"AB",0.0481114302809844,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"SK",0.0327137116751128,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"MB",0.0191197596278735,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"ON",0.0290431225289606,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"QC",-0.00854132585539632,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NB",0.0366909757811526,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NS",0.0227108781398634,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"PE",0.0288753834194039,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NL",0.0820999728904655,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0234857927321161,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"FED",-0.00439678378413328,0.04,0.005,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"BC",0.017786164166789,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"AB",0.0488934552475236,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"SK",0.0338221579328175,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"MB",0.0198039033665317,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"ON",0.0311186294942188,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"QC",-0.00641319879123717,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NB",0.0349551601563022,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NS",0.0258126213146377,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"PE",0.0349429415287678,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NL",0.088848010194562,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"PROV",0.0260672330099458,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0107679948641741,0.04,0.005,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"BC",0.0178152986060664,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"AB",0.047300284172807,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"SK",0.0329822981801438,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"MB",0.0173059490891508,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"ON",0.0297807181272296,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"QC",-0.00858140564404699,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NB",0.0301566886843473,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NS",0.0240110691176904,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"PE",0.0335136562083437,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NL",0.0881875097540129,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"PROV",0.0250952783850839,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"FED",-0.018482961372695,0.04,0.005,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"BC",0.00997772322593945,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"AB",0.044180003319701,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"SK",0.0285942082486611,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"MB",0.0135618358622234,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"ON",0.0238456792577823,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0144331834791221,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NB",0.0303012720710237,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NS",0.0163894944050506,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"PE",0.0220656122931677,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NL",0.0749123854002128,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0184850130844477,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"FED",-0.00869251718272277,0.04,0.005,0,0.01,0,25,"Projection scenario M2: medium-growth"
"BC",0.010138663649547,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"AB",0.0413968700284508,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"SK",0.0263272837344299,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"MB",0.00974679938128083,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"ON",0.0220585698399499,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0169884694507806,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NB",0.0236709552451316,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NS",0.0143908388570318,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"PE",0.0219632641889969,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NL",0.0763865177970016,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"PROV",0.0171378842185975,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0179351454969637,0.04,0.005,0,0.01,0,50,"Projection scenario M2: medium-growth"
"BC",0.00694884949117711,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"AB",0.0365343895184706,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"SK",0.0224864831451747,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"MB",0.0031534507391948,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"ON",0.0172766883454785,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0234202066087881,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"NB",0.0147832310510161,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"NS",0.00822396857029303,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"PE",0.0149767703355959,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"NL",0.0715811534326386,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"PROV",0.0126627993586821,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0280678500522005,0.04,0.005,0,0.01,0,75,"Projection scenario M2: medium-growth"
"BC",0.0059778642689344,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"AB",0.0403455434346428,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"SK",0.0245710883608038,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"MB",0.00812596320754801,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"ON",0.0187546607823244,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0202037509383336,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"NB",0.0240421829790818,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"NS",0.0101987553003377,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"PE",0.0154115678299092,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"NL",0.0678552052621764,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0135917248653811,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"FED",-0.0128972945907288,0.04,0.005,0,0.0125,0,25,"Projection scenario M2: medium-growth"
"BC",0.0027990403916919,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"AB",0.0342502819361049,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"SK",0.0191539442883768,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"MB",0.000102990345493535,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"ON",0.0133444337119322,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0271715281948639,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"NB",0.0127711981553174,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"NS",0.00336482797609382,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"PE",0.0095097609549266,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"NL",0.0642784089896253,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"PROV",0.00856518749666312,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0247928550193291,0.04,0.005,0,0.0125,0,50,"Projection scenario M2: medium-growth"
"BC",-0.00329973187959257,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"AB",0.0265088073553202,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"SK",0.0126285514484434,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"MB",-0.0101585092404051,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"ON",0.00545459012053055,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0374856090571707,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"NB",9.092327064986e-05,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"NS",-0.0068503991457281,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"PE",-0.00251263637690027,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"NL",0.0555394239755452,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"PROV",0.000944659720264478,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"FED",-0.037008040348933,0.04,0.005,0,0.0125,0,75,"Projection scenario M2: medium-growth"
"BC",0.00206842032702289,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"AB",0.0366068739617616,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"SK",0.0206432720226692,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"MB",0.0028108979765881,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"ON",0.0137690473557644,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0258540293322931,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"NB",0.0179127944371998,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"NS",0.00413773634032039,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"PE",0.00891167157106218,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"NL",0.0609277954557755,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"PROV",0.00880488266756531,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"FED",-0.0170121957986392,0.04,0.005,0,0.015,0,25,"Projection scenario M2: medium-growth"
"BC",-0.0042349563345773,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"AB",0.0274475079522681,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"SK",0.0122979917106235,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"MB",-0.00913197007413709,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"ON",0.00497344685003598,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0369638213113751,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"NB",0.00225698357584652,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"NS",-0.00726457905531139,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"PE",-0.00242183043735347,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"NL",0.0525278809950465,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"PROV",0.000345953359037457,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0313470338186783,0.04,0.005,0,0.015,0,50,"Projection scenario M2: medium-growth"
"BC",-0.0129325938099401,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"AB",0.017205189535194,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"SK",0.00340047691308847,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"MB",-0.0226390067278616,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"ON",-0.0056884804880773,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0507747559514409,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"NB",-0.0139065817310402,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"NS",-0.0211988998100852,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"PE",-0.0189581040698543,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"NL",0.0400849956910507,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"PROV",-0.0100641253379886,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0453234294319544,0.04,0.005,0,0.015,0,75,"Projection scenario M2: medium-growth"
"BC",0.0210871585186422,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"AB",0.0545061810528468,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"SK",0.0393692883833247,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"MB",0.028014007901976,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"ON",0.0369729758791709,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"QC",0.000766808206880023,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NB",0.0468339045522114,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NS",0.033198566878293,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"PE",0.0402343126822264,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NL",0.0935790062058782,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0314013624010252,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"FED",-6.31821592172722e-06,0.04,0.0075,0,0.005,0,25,"Projection scenario M2: medium-growth"
"BC",0.0317394076377027,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"AB",0.0618709966193972,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"SK",0.0466657064981592,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"MB",0.0370712965788023,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"ON",0.0460329906319338,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"QC",0.0115007447754022,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NB",0.0540155888821676,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NS",0.0459163063401088,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"PE",0.0580509499333561,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NL",0.110192782781376,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"PROV",0.041244461539952,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"FED",-0.00328321431857968,0.04,0.0075,0,0.005,0,50,"Projection scenario M2: medium-growth"
"BC",0.0384003452580284,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"AB",0.0667754465870274,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"SK",0.0516693832997988,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"MB",0.0426765841389591,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"ON",0.0512952743520125,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"QC",0.0175661515115347,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NB",0.0570200467929647,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NS",0.0526446910060835,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"PE",0.0677503656647763,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NL",0.117478770750729,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"PROV",0.04715393997383,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"FED",-0.00823394468102811,0.04,0.0075,0,0.005,0,75,"Projection scenario M2: medium-growth"
"BC",0.0168195019862205,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"AB",0.0504027737312383,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"SK",0.0350775300081592,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"MB",0.0222356096871233,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"ON",0.0315897410258939,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"QC",-0.00534407910845046,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NB",0.0402087739431594,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NS",0.0266293198384908,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"PE",0.0331345459926511,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NL",0.0861444897534807,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0262079135309136,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"FED",-0.00439678378413328,0.04,0.0075,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"BC",0.0234406954545497,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"AB",0.0537046107604611,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"SK",0.0385502380150996,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"MB",0.0261998276786873,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"ON",0.0363104393653488,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"QC",0.000145495988747866,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NB",0.041958768780479,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NS",0.0336607593664284,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"PE",0.0439926259939647,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NL",0.0969631854085112,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"PROV",0.0316169233481,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0107679948641741,0.04,0.0075,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"BC",0.0261742847199538,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"AB",0.0545406903956,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"SK",0.0398957254998213,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"MB",0.0268025200636768,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"ON",0.0374295656030023,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"QC",0.00112184022245551,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NB",0.0401917940899887,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NS",0.0352693168558266,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"PE",0.0469734150153241,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NL",0.0995342145671435,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"PROV",0.0332679526946235,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"FED",-0.018482961372695,0.04,0.0075,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"BC",0.0126431848294841,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"AB",0.0463973591398302,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"SK",0.0308827749803093,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"MB",0.0165798687279346,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"ON",0.0263130939703588,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0113335631293957,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NB",0.0337140241059155,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NS",0.0201906602905454,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"PE",0.0261917007851839,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NL",0.0788407586572444,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0211223102254217,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"FED",-0.00869251718272277,0.04,0.0075,0,0.01,0,25,"Projection scenario M2: medium-growth"
"BC",0.0154620608192763,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"AB",0.0459058947534673,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"SK",0.0307699110649509,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"MB",0.0157586307686321,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"ON",0.026945516269146,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0108055967251314,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NB",0.0302941546946119,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NS",0.0218107200259204,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"PE",0.0304818566773316,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NL",0.0840916578003691,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"PROV",0.0223593333990798,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0179351454969637,0.04,0.0075,0,0.01,0,50,"Projection scenario M2: medium-growth"
"BC",0.0146020746322673,0.04,0.0075,0,0.01,0,75,"Projection scenario M2: medium-growth"
"AB",0.0431054636094911,0.04,0.0075,0,0.01,0,75,"Projection scenario M2: medium-growth"
